DateOfReport,ReportID,ProductReference,SupplierName,GarmentType,Material,Weight,ProposedUnitsPerCarton,ProposedFoldingMethod,ProposedLayout,PackagingQuality,Size,Collection
2023-03-09,RPT0073433,PRD00034,SupplierD,Shorts,Silk,0.23,33.0,Method3,LayoutA,Good,M,Summer
2023-03-10,RPT0491479,PRD00022,SupplierB,Shirt,Cotton,0.16,47.0,Method2,LayoutA,Good,M,Autumn
2023-03-11,RPT0241705,PRD00007,SupplierC,Shirt,Cotton,0.22,31.0,Method1,LayoutB,Good,XL,Winter
2023-03-11,RPT0409079,PRD00014,SupplierB,Pants,Cotton,0.42,22.0,Method1,LayoutB,Good,M,Winter
2023-03-11,RPT0430761,PRD00023,SupplierC,Pants,Silk,0.28,34.0,Method3,LayoutC,Good,M,Summer
2023-03-11,RPT0465644,PRD00001,SupplierA,Jacket,Cotton,0.84,10.0,Method2,LayoutD,Bad,L,Summer
2023-03-12,RPT0221390,PRD00006,SupplierD,Shirt,Silk,0.16,46.0,Method3,LayoutA,Good,L,Summer
2023-03-13,RPT0240837,PRD00011,SupplierA,Shirt,Silk,0.15,48.0,Method3,LayoutB,Good,M,Summer
2023-03-13,RPT0377930,PRD00033,SupplierG,Shirt,Silk,0.14,49.0,Method3,LayoutB,Good,L,Winter
2023-03-14,RPT0321830,PRD00030,SupplierA,Shirt,Wool,0.26,25.0,Method3,LayoutB,Good,S,Winter
2023-03-14,RPT0422525,PRD00025,SupplierD,Dress,Wool,0.72,18.0,Method3,LayoutD,Good,M,Autumn
2023-03-15,RPT0147168,PRD00013,SupplierC,T-Shirt,Silk,0.1,36.0,Method3,LayoutB,Good,S,Summer
2023-03-15,RPT0239430,PRD00004,SupplierB,Skirt,Polyester,0.25,22.0,Method2,LayoutC,Good,L,Winter
2023-03-15,RPT0243892,PRD00025,SupplierE,Dress,Wool,0.72,14.0,Method3,LayoutC,Bad,M,Autumn
2023-03-16,RPT0084979,PRD00012,SupplierC,Shorts,Wool,0.33,34.0,Method3,LayoutB,Good,XS,Summer
2023-03-16,RPT0255040,PRD00023,SupplierC,Pants,Silk,0.28,30.0,Method3,LayoutC,Bad,M,Summer
2023-03-16,RPT0443072,PRD00013,SupplierA,T-Shirt,Silk,0.1,32.0,Method1,LayoutB,Good,S,Summer
2023-03-16,RPT0452550,PRD00030,SupplierB,Shirt,Wool,0.26,27.0,Method3,LayoutB,Good,S,Winter
2023-03-16,RPT0488736,PRD00010,SupplierB,Coat,Linen,1.51,7.0,Method2,LayoutE,Good,S,Summer
2023-03-17,RPT0054045,PRD00006,SupplierA,Shirt,Silk,0.16,38.0,Method3,LayoutA,Good,L,Summer
2023-03-17,RPT0367991,PRD00029,SupplierC,Skirt,Wool,0.32,22.0,Method3,LayoutB,Bad,S,Summer
2023-03-17,RPT0461084,PRD00023,SupplierD,Pants,Silk,0.28,26.0,Method3,LayoutC,Bad,M,Summer
2023-03-18,RPT0462137,PRD00006,SupplierC,Shirt,Silk,0.16,42.0,Method3,LayoutB,Good,L,Summer
2023-03-18,RPT0490999,PRD00025,SupplierD,Dress,Wool,0.72,19.0,Method3,LayoutC,Good,M,Autumn
2023-03-19,RPT0008657,PRD00011,SupplierB,Shirt,Silk,0.15,41.0,Method3,LayoutA,Good,M,Summer
2023-03-19,RPT0020468,PRD00023,SupplierA,Pants,Silk,0.28,31.0,Method1,LayoutC,Good,M,Summer
2023-03-19,RPT0470921,PRD00026,SupplierC,T-Shirt,Cotton,0.15,43.0,Method1,LayoutA,Good,M,Autumn
2023-03-20,RPT0107332,PRD00033,SupplierA,Shirt,Silk,0.14,41.0,Method3,LayoutA,Good,L,Winter
2023-03-20,RPT0112614,PRD00025,SupplierA,Dress,Wool,0.72,12.0,Method3,LayoutD,Good,M,Autumn
2023-03-20,RPT0383531,PRD00013,SupplierA,T-Shirt,Silk,0.1,43.0,Method3,LayoutA,Good,S,Summer
2023-03-21,RPT0140048,PRD00012,SupplierB,Shorts,Wool,0.33,22.0,Method3,LayoutC,Good,XS,Summer
2023-03-21,RPT0317232,PRD00029,SupplierG,Skirt,Wool,0.32,28.0,Method3,LayoutB,Good,S,Summer
2023-03-21,RPT0400612,PRD00022,SupplierF,Shirt,Cotton,0.16,34.0,Method2,LayoutB,Good,M,Autumn
2023-03-22,RPT0110700,PRD00021,SupplierA,Suit,Cotton,1.11,6.0,Method2,LayoutE,Good,M,Spring
2023-03-22,RPT0261873,PRD00001,SupplierB,Jacket,Cotton,0.84,12.0,Method1,LayoutC,Good,L,Summer
2023-03-22,RPT0340634,PRD00014,SupplierA,Pants,Cotton,0.42,31.0,Method2,LayoutB,Good,M,Winter
2023-03-22,RPT0387435,PRD00026,SupplierC,T-Shirt,Cotton,0.15,39.0,Method2,LayoutB,Good,M,Autumn
2023-03-22,RPT0398413,PRD00018,SupplierB,Dress,Cotton,0.46,22.0,Method1,LayoutC,Good,XL,Winter
2023-03-22,RPT0479075,PRD00010,SupplierA,Coat,Linen,1.51,6.0,Method2,LayoutD,Uncertain,S,Summer
2023-03-23,RPT0087354,PRD00009,SupplierE,Skirt,Linen,0.23,30.0,Method3,LayoutB,Good,L,Summer
2023-03-24,RPT0157348,PRD00003,SupplierA,Sweater,Cotton,0.85,12.0,Method1,LayoutD,Good,M,Spring
2023-03-24,RPT0184433,PRD00030,SupplierD,Shirt,Wool,0.26,26.0,Method3,LayoutC,Good,S,Winter
2023-03-24,RPT0484681,PRD00030,SupplierF,Shirt,Wool,0.26,23.0,Method3,LayoutB,Good,S,Winter
2023-03-24,RPT0487306,PRD00016,SupplierB,Shirt,Cotton,0.2,26.0,Method2,LayoutA,Good,L,Spring
2023-03-24,RPT0499606,PRD00025,SupplierD,Dress,Wool,0.72,13.0,Method3,LayoutC,Good,M,Autumn
2023-03-25,RPT0016085,PRD00028,SupplierG,Dress,Silk,0.37,24.0,Method3,LayoutC,Good,XS,Winter
2023-03-26,RPT0205931,PRD00030,SupplierC,Shirt,Wool,0.26,20.0,Method3,LayoutB,Good,S,Winter
2023-03-26,RPT0473409,PRD00007,SupplierF,Shirt,Cotton,0.22,30.0,Method2,LayoutA,Good,XL,Winter
2023-03-27,RPT0099155,PRD00014,SupplierE,Pants,Cotton,0.42,27.0,Method1,LayoutC,Bad,M,Winter
2023-03-27,RPT0101059,PRD00017,SupplierA,Pants,Cotton,0.37,28.0,Method1,LayoutC,Good,L,Summer
2023-03-27,RPT0217860,PRD00012,SupplierC,Shorts,Wool,0.33,22.0,Method3,LayoutB,Bad,XS,Summer
2023-03-27,RPT0277455,PRD00009,SupplierG,Skirt,Linen,0.23,24.0,Method3,LayoutB,Bad,L,Summer
2023-03-28,RPT0058793,PRD00012,SupplierA,Shorts,Wool,0.33,22.0,Method3,LayoutB,Good,XS,Summer
2023-03-29,RPT0369519,PRD00018,SupplierA,Dress,Cotton,0.46,22.0,Method1,LayoutC,Good,XL,Winter
2023-03-29,RPT0379638,PRD00028,SupplierA,Dress,Silk,0.37,32.0,Method3,LayoutB,Good,XS,Winter
2023-03-29,RPT0416769,PRD00018,SupplierF,Dress,Cotton,0.46,34.0,Method2,LayoutC,Good,XL,Winter
2023-03-29,RPT0447975,PRD00012,SupplierF,Shorts,Wool,0.33,24.0,Method3,LayoutB,Bad,XS,Summer
2023-03-30,RPT0116446,PRD00030,SupplierA,Shirt,Wool,0.26,20.0,Method3,LayoutC,Bad,S,Winter
2023-03-31,RPT0143692,PRD00021,SupplierA,Suit,Cotton,1.11,9.0,Method2,LayoutE,Good,M,Spring
2023-03-31,RPT0215820,PRD00012,SupplierA,Shorts,Wool,0.33,29.0,Method3,LayoutB,Good,XS,Summer
2023-03-31,RPT0222327,PRD00024,SupplierA,Jacket,Cotton,0.73,15.0,Method1,LayoutC,Good,L,Summer
2023-03-31,RPT0286972,PRD00022,SupplierC,Shirt,Cotton,0.16,42.0,Method1,LayoutA,Bad,M,Autumn
2023-03-31,RPT0397248,PRD00011,SupplierF,Shirt,Silk,0.15,44.0,Method3,LayoutA,Good,M,Summer
2023-04-01,RPT0003929,PRD00019,SupplierA,Jacket,Cotton,0.76,16.0,Method2,LayoutD,Good,M,Summer
2023-04-01,RPT0370246,PRD00007,SupplierH,Shirt,Cotton,0.22,25.0,Method1,LayoutA,Good,XL,Winter
2023-04-01,RPT0380885,PRD00025,SupplierH,Dress,Wool,0.72,17.0,Method3,LayoutD,Bad,M,Autumn
2023-04-02,RPT0060094,PRD00002,SupplierC,Shorts,Cotton,0.35,32.0,Method2,LayoutC,Good,S,Summer
2023-04-02,RPT0172853,PRD00032,SupplierA,Shirt,Denim,0.3,21.0,Method2,LayoutB,Good,S,Summer
2023-04-02,RPT0364037,PRD00001,SupplierF,Jacket,Cotton,0.84,10.0,Method1,LayoutC,Good,L,Summer
2023-04-03,RPT0146098,PRD00032,SupplierA,Shirt,Denim,0.3,23.0,Method2,LayoutC,Good,S,Summer
2023-04-03,RPT0175846,PRD00034,SupplierE,Shorts,Silk,0.23,31.0,Method3,LayoutB,Good,M,Summer
2023-04-03,RPT0248812,PRD00020,SupplierB,Pants,Cotton,0.34,31.0,Method2,LayoutC,Good,S,Spring
2023-04-03,RPT0277801,PRD00011,SupplierA,Shirt,Silk,0.15,36.0,Method3,LayoutA,Good,M,Summer
2023-04-03,RPT0331200,PRD00017,SupplierA,Pants,Cotton,0.37,23.0,Method2,LayoutC,Good,L,Summer
2023-04-04,RPT0153518,PRD00027,SupplierB,Shirt,Silk,0.11,31.0,Method3,LayoutA,Good,S,Summer
2023-04-04,RPT0313245,PRD00001,SupplierH,Jacket,Cotton,0.84,14.0,Method1,LayoutC,Good,L,Summer
2023-04-06,RPT0457656,PRD00011,SupplierF,Shirt,Silk,0.15,49.0,Method3,LayoutA,Good,M,Summer
2023-04-07,RPT0052335,PRD00017,SupplierB,Pants,Cotton,0.37,20.0,Method2,LayoutB,Good,L,Summer
2023-04-07,RPT0317046,PRD00031,SupplierC,Skirt,Cotton,0.32,30.0,Method1,LayoutB,Good,L,Summer
2023-04-07,RPT0402918,PRD00034,SupplierC,Shorts,Silk,0.23,22.0,Method3,LayoutB,Good,M,Summer
2023-04-08,RPT0194556,PRD00033,SupplierA,Shirt,Silk,0.14,48.0,Method3,LayoutB,Good,L,Winter
2023-04-08,RPT0215309,PRD00020,SupplierD,Pants,Cotton,0.34,30.0,Method1,LayoutB,Good,S,Spring
2023-04-08,RPT0279578,PRD00016,SupplierC,Shirt,Cotton,0.2,22.0,Method1,LayoutB,Good,L,Spring
2023-04-08,RPT0373204,PRD00033,SupplierB,Shirt,Silk,0.14,39.0,Method3,LayoutA,Good,L,Winter
2023-04-09,RPT0439995,PRD00004,SupplierA,Skirt,Polyester,0.25,21.0,Method2,LayoutB,Good,L,Winter
2023-04-10,RPT0254036,PRD00033,SupplierF,Shirt,Silk,0.14,32.0,Method3,LayoutA,Good,L,Winter
2023-04-11,RPT0415108,PRD00026,SupplierA,T-Shirt,Cotton,0.15,48.0,Method1,LayoutB,Good,M,Autumn
2023-04-11,RPT0417746,PRD00030,SupplierB,Shirt,Wool,0.26,26.0,Method3,LayoutC,Good,S,Winter
2023-04-11,RPT0451718,PRD00005,SupplierA,Shirt,Polyester,0.16,48.0,Method2,LayoutB,Good,M,Spring
2023-04-11,RPT0488173,PRD00032,SupplierA,Shirt,Denim,0.3,32.0,Method2,LayoutB,Good,S,Summer
2023-04-12,RPT0029043,PRD00019,SupplierA,Jacket,Cotton,0.76,15.0,Method1,LayoutC,Good,M,Summer
2023-04-12,RPT0164666,PRD00032,SupplierA,Shirt,Denim,0.3,27.0,Method2,LayoutC,Good,S,Summer
2023-04-12,RPT0390035,PRD00002,SupplierC,Shorts,Cotton,0.35,25.0,Method1,LayoutB,Good,S,Summer
2023-04-13,RPT0042792,PRD00024,SupplierA,Jacket,Cotton,0.73,17.0,Method1,LayoutD,Good,L,Summer
2023-04-13,RPT0170325,PRD00010,SupplierA,Coat,Linen,1.51,9.0,Method3,LayoutD,Good,S,Summer
2023-04-13,RPT0226019,PRD00016,SupplierF,Shirt,Cotton,0.2,22.0,Method1,LayoutA,Good,L,Spring
2023-04-14,RPT0091248,PRD00023,SupplierA,Pants,Silk,0.28,28.0,Method3,LayoutC,Good,M,Summer
2023-04-14,RPT0201456,PRD00022,SupplierA,Shirt,Cotton,0.16,34.0,Method2,LayoutB,Good,M,Autumn
2023-04-14,RPT0219961,PRD00017,SupplierA,Pants,Cotton,0.37,27.0,Method2,LayoutC,Good,L,Summer
2023-04-14,RPT0434180,PRD00020,SupplierD,Pants,Cotton,0.34,21.0,Method2,LayoutB,Good,S,Spring
2023-04-14,RPT0490922,PRD00032,SupplierD,Shirt,Denim,0.3,32.0,Method2,LayoutG,Good,S,Summer
2023-04-15,RPT0004829,PRD00017,SupplierH,Pants,Cotton,0.37,34.0,Method2,LayoutB,Good,L,Summer
2023-04-15,RPT0099209,PRD00010,SupplierA,Coat,Linen,1.51,7.0,Method3,LayoutD,Good,S,Summer
2023-04-16,RPT0318585,PRD00022,SupplierB,Shirt,Cotton,0.16,38.0,Method2,LayoutA,Good,M,Autumn
2023-04-16,RPT0370249,PRD00011,SupplierD,Shirt,Silk,0.15,36.0,Method3,LayoutA,GOOD,M,Summer
2023-04-18,RPT0007329,PRD00013,SupplierE,T-Shirt,Silk,0.1,41.0,Method3,LayoutA,Bad,S,Summer
2023-04-18,RPT0102730,PRD00011,SupplierC,Shirt,Silk,0.15,44.0,Method3,LayoutA,Good,M,Summer
2023-04-18,RPT0177556,PRD00017,SupplierF,Pants,Cotton,0.37,27.0,Method2,LayoutC,Bad,L,Summer
2023-04-18,RPT0216742,PRD00010,SupplierH,Coat,Linen,1.51,8.0,Method2,LayoutE,Bad,S,Summer
2023-04-18,RPT0399460,PRD00022,SupplierC,Shirt,Cotton,0.16,49.0,Method1,LayoutB,Good,M,Autumn
2023-04-19,RPT0183308,PRD00020,SupplierF,Pants,Cotton,0.34,30.0,Method1,LayoutC,Good,S,Spring
2023-04-20,RPT0217765,PRD00007,SupplierD,Shirt,Cotton,0.22,30.0,Method1,LayoutA,Good,XL,Winter
2023-04-21,RPT0216145,PRD00003,SupplierA,Sweater,Cotton,0.85,12.0,Method1,LayoutC,Bad,M,Spring
2023-04-21,RPT0221486,PRD00032,SupplierG,Shirt,Denim,0.3,25.0,Method2,LayoutC,Good,S,Summer
2023-04-21,RPT0322292,PRD00005,SupplierC,Shirt,Polyester,0.16,36.0,Method1,LayoutA,Good,M,Spring
2023-04-21,RPT0385380,PRD00027,SupplierC,Shirt,Silk,0.11,38.0,Method3,LayoutA,Good,S,Summer
2023-04-22,RPT0009852,PRD00026,SupplierA,T-Shirt,Cotton,0.15,38.0,Method2,LayoutA,Good,M,Autumn
2023-04-22,RPT0306442,PRD00024,SupplierB,Jacket,Cotton,0.73,17.0,Method2,LayoutD,Good,L,Summer
2023-04-23,RPT0080837,PRD00011,SupplierG,Shirt,Silk,0.15,40.0,Method3,LayoutB,Good,M,Summer
2023-04-23,RPT0149908,PRD00015,SupplierD,Shirt,Polyester,0.12,35.0,Method2,LayoutB,GOOD,M,Summer
2023-04-23,RPT0229565,PRD00020,SupplierD,Pants,Cotton,0.34,28.0,Method2,LayoutB,Bad,S,Spring
2023-04-23,RPT0364885,PRD00019,SupplierB,Jacket,Cotton,0.76,11.0,Method1,LayoutD,Good,M,Summer
2023-04-23,RPT0392904,PRD00022,SupplierB,Shirt,Cotton,0.16,49.0,Method1,LayoutF,Good,M,Autumn
2023-04-23,RPT0397165,PRD00002,SupplierC,Shorts,Cotton,0.35,33.0,Method2,LayoutC,Good,S,Summer
2023-04-23,RPT0426588,PRD00007,SupplierG,Shirt,Cotton,0.22,21.0,Method1,LayoutB,Good,XL,Winter
2023-04-24,RPT0101043,PRD00032,SupplierC,Shirt,Denim,0.3,34.0,Method2,LayoutC,Good,S,Summer
2023-04-24,RPT0128633,PRD00005,SupplierA,Shirt,Polyester,0.16,43.0,Method2,LayoutA,Good,M,Spring
2023-04-24,RPT0321113,PRD00011,SupplierC,Shirt,Silk,0.15,32.0,Method3,LayoutA,Good,M,Summer
2023-04-25,RPT0184817,PRD00017,SupplierE,Pants,Cotton,0.37,32.0,Method1,LayoutB,Good,L,Summer
2023-04-25,RPT0271946,PRD00032,SupplierB,Shirt,Denim,0.3,32.0,Method2,LayoutB,Good,S,Summer
2023-04-25,RPT0291207,PRD00015,SupplierA,Shirt,Polyester,0.12,46.0,Method2,LayoutA,Good,M,Summer
2023-04-25,RPT0457505,PRD00023,SupplierA,Pants,Silk,0.28,31.0,Method3,LayoutC,Good,M,Summer
2023-04-27,RPT0043999,PRD00022,SupplierD,Shirt,Cotton,0.16,40.0,Method1,LayoutA,Good,M,Autumn
2023-04-27,RPT0178814,PRD00002,SupplierF,Shorts,Cotton,0.35,32.0,Method2,LayoutB,Good,S,Summer
2023-04-27,RPT0184180,PRD00004,SupplierA,Skirt,Polyester,0.25,29.0,Method1,LayoutB,Good,L,Winter
2023-04-27,RPT0415924,PRD00008,SupplierB,T-Shirt,Polyester,0.13,38.0,Method1,LayoutB,Good,S,Spring
2023-04-28,RPT0209712,PRD00015,SupplierA,Shirt,Polyester,0.12,35.0,Method1,LayoutB,Good,M,Summer
2023-04-28,RPT0299458,PRD00034,SupplierA,Shorts,Silk,0.23,25.0,Method3,LayoutA,Good,M,Summer
2023-04-29,RPT0187789,PRD00003,SupplierA,Sweater,Cotton,0.85,18.0,Method1,LayoutD,Good,M,Spring
2023-04-29,RPT0340980,PRD00006,SupplierA,Shirt,Silk,0.16,42.0,Method3,LayoutB,Good,L,Summer
2023-04-29,RPT0399705,PRD00010,SupplierA,Coat,Linen,1.51,6.0,Method2,LayoutE,Good,S,Summer
2023-04-30,RPT0066207,PRD00002,SupplierA,Shorts,Cotton,0.35,27.0,Method2,LayoutC,Good,S,Summer
2023-04-30,RPT0163939,PRD00017,SupplierA,Pants,Cotton,0.37,31.0,Method1,LayoutB,Good,L,Summer
2023-04-30,RPT0298584,PRD00012,SupplierB,Shorts,Wool,0.33,32.0,Method3,LayoutB,Good,XS,Summer
2023-04-30,RPT0341136,PRD00006,SupplierH,Shirt,Silk,0.16,34.0,Method3,LayoutA,Good,L,Summer
2023-05-01,RPT0020421,PRD00004,SupplierF,Skirt,Polyester,0.25,26.0,Method1,LayoutC,Good,L,Winter
2023-05-01,RPT0140832,PRD00011,SupplierA,Shirt,Silk,0.15,41.0,Method3,LayoutA,Good,M,Summer
2023-05-01,RPT0143037,PRD00028,SupplierB,Dress,Silk,0.37,22.0,Method3,LayoutB,Good,XS,Winter
2023-05-01,RPT0344707,PRD00025,SupplierB,Dress,Wool,0.72,10.0,Method3,LayoutC,Bad,M,Autumn
2023-05-02,RPT0468135,PRD00010,SupplierC,Coat,Linen,1.51,5.0,Method3,LayoutF,Bad,S,Summer
2023-05-03,RPT0280898,PRD00005,SupplierF,Shirt,Polyester,0.16,45.0,Method1,LayoutB,Bad,M,Spring
2023-05-03,RPT0286057,PRD00024,SupplierA,Jacket,Cotton,0.73,16.0,Method1,LayoutC,Good,L,Summer
2023-05-04,RPT0027076,PRD00027,SupplierH,Shirt,Silk,0.11,33.0,Method3,LayoutB,Bad,S,Summer
2023-05-04,RPT0043248,PRD00015,SupplierC,Shirt,Polyester,0.12,38.0,Method1,LayoutA,Good,M,Summer
2023-05-04,RPT0057343,PRD00016,SupplierF,Shirt,Cotton,0.2,32.0,Method1,LayoutA,Good,L,Spring
2023-05-04,RPT0353933,PRD00033,SupplierF,Shirt,Silk,0.14,35.0,Method3,LayoutB,Good,L,Winter
2023-05-04,RPT0494531,PRD00008,SupplierD,T-Shirt,Polyester,0.13,42.0,Method2,LayoutB,Good,S,Spring
2023-05-06,RPT0146488,PRD00017,SupplierE,Pants,Cotton,0.37,22.0,Method2,LayoutA,Good,L,Summer
2023-05-06,RPT0212268,PRD00011,SupplierH,Shirt,Silk,0.15,46.0,Method3,LayoutB,Good,M,Summer
2023-05-06,RPT0350060,PRD00018,SupplierE,Dress,Cotton,0.46,26.0,Method1,LayoutC,Good,XL,Winter
2023-05-06,RPT0351761,PRD00001,SupplierA,Jacket,Cotton,0.84,10.0,Method1,LayoutC,Good,L,Summer
2023-05-06,RPT0431994,PRD00019,SupplierC,Jacket,Cotton,0.76,10.0,Method2,LayoutD,Bad,M,Summer
2023-05-07,RPT0359311,PRD00024,SupplierA,Jacket,Cotton,0.73,16.0,Method2,LayoutD,Good,L,Summer
2023-05-07,RPT0461118,PRD00007,SupplierA,Shirt,Cotton,0.22,21.0,Method2,LayoutB,Good,XL,Winter
2023-05-07,RPT0461765,PRD00014,SupplierF,Pants,Cotton,0.42,20.0,Method1,LayoutC,Good,M,Winter
2023-05-08,RPT0094197,PRD00015,SupplierA,Shirt,Polyester,0.12,41.0,Method1,LayoutB,Good,M,Summer
2023-05-08,RPT0321451,PRD00002,SupplierA,Shorts,Cotton,0.35,21.0,Method2,LayoutC,Good,S,Summer
2023-05-08,RPT0385956,PRD00004,SupplierH,Skirt,Polyester,0.25,33.0,Method1,LayoutC,Good,L,Winter
2023-05-08,RPT0452291,PRD00020,SupplierB,Pants,Cotton,0.34,30.0,Method2,LayoutC,Good,S,Spring
2023-05-09,RPT0012904,PRD00012,SupplierB,Shorts,Wool,0.33,28.0,Method3,LayoutC,Good,XS,Summer
2023-05-09,RPT0017770,PRD00032,SupplierF,Shirt,Denim,0.3,28.0,Method2,LayoutB,Bad,S,Summer
2023-05-09,RPT0217603,PRD00019,SupplierD,Jacket,Cotton,0.76,13.0,Method1,LayoutC,Good,M,Summer
2023-05-09,RPT0478557,PRD00005,SupplierA,Shirt,Polyester,0.16,49.0,Method2,LayoutA,Good,M,Spring
2023-05-09,RPT0493506,PRD00005,SupplierA,Shirt,Polyester,0.16,44.0,Method2,LayoutB,Bad,M,Spring
2023-05-10,RPT0277831,PRD00030,SupplierB,Shirt,Wool,0.26,26.0,Method3,LayoutC,Good,S,Winter
2023-05-11,RPT0242004,PRD00016,SupplierB,Shirt,Cotton,0.2,32.0,Method2,LayoutA,Good,L,Spring
2023-05-11,RPT0372399,PRD00011,SupplierD,Shirt,Silk,0.15,41.0,Method3,LayoutA,bad,M,Summer
2023-05-11,RPT0452584,PRD00005,SupplierC,Shirt,Polyester,0.16,35.0,Method2,LayoutA,Bad,M,Spring
2023-05-12,RPT0076600,PRD00002,SupplierE,Shorts,Cotton,0.35,28.0,Method1,LayoutC,Good,S,Summer
2023-05-12,RPT0345622,PRD00015,SupplierG,Shirt,Polyester,0.12,46.0,Method1,LayoutA,Good,M,Summer
2023-05-12,RPT0456108,PRD00020,SupplierA,Pants,Cotton,0.34,34.0,Method1,LayoutB,Good,S,Spring
2023-05-13,RPT0050923,PRD00028,SupplierA,Dress,Silk,0.37,23.0,Method3,LayoutC,Good,XS,Winter
2023-05-13,RPT0257951,PRD00001,SupplierC,Jacket,Cotton,0.84,14.0,Method2,LayoutF,Good,L,Summer
2023-05-13,RPT0286415,PRD00007,SupplierA,Shirt,Cotton,0.22,24.0,Method1,LayoutA,Good,XL,Winter
2023-05-13,RPT0297140,PRD00005,SupplierB,Shirt,Polyester,0.16,34.0,Method2,LayoutA,Bad,M,Spring
2023-05-13,RPT0348222,PRD00003,SupplierA,Sweater,Cotton,0.85,14.0,Method2,LayoutC,Good,M,Spring
2023-05-15,RPT0191250,PRD00004,SupplierD,Skirt,Polyester,0.25,21.0,Method2,LayoutC,Good,L,Winter
2023-05-16,RPT0024677,PRD00027,SupplierD,Shirt,Silk,0.11,43.0,Method3,LayoutA,Bad,S,Summer
2023-05-16,RPT0223339,PRD00015,SupplierB,Shirt,Polyester,0.12,49.0,Method1,LayoutA,Good,M,Summer
2023-05-16,RPT0291943,PRD00017,SupplierB,Pants,Cotton,0.37,29.0,Method1,LayoutB,Good,L,Summer
2023-05-16,RPT0302528,PRD00031,SupplierE,Skirt,Cotton,0.32,32.0,Method2,LayoutB,Good,L,Summer
2023-05-16,RPT0398044,PRD00027,SupplierB,Shirt,Silk,0.11,34.0,Method3,LayoutB,Good,S,Summer
2023-05-17,RPT0000657,PRD00010,SupplierC,Coat,Linen,1.51,6.0,Method2,LayoutE,Bad,S,Summer
2023-05-17,RPT0118839,PRD00008,SupplierA,T-Shirt,Polyester,0.13,47.0,Method2,LayoutA,Good,S,Spring
2023-05-17,RPT0177557,PRD00014,SupplierA,Pants,Cotton,0.42,20.0,Method2,LayoutC,Bad,M,Winter
2023-05-17,RPT0229395,PRD00004,SupplierC,Skirt,Polyester,0.25,12.0,Method1,LayoutC,Good,L,Winter
2023-05-17,RPT0276282,PRD00017,SupplierB,Pants,Cotton,0.37,28.0,Method1,LayoutC,Bad,L,Summer
2023-05-17,RPT0352480,PRD00009,SupplierA,Skirt,Linen,0.23,25.0,Method3,LayoutA,Good,L,Summer
2023-05-17,RPT0457731,PRD00020,SupplierA,Pants,Cotton,0.34,33.0,Method2,LayoutC,Good,S,Spring
2023-05-18,RPT0187838,PRD00006,SupplierD,Shirt,Silk,0.16,43.0,Method3,LayoutA,Good,L,Summer
2023-05-18,RPT0214130,PRD00031,SupplierD,Skirt,Cotton,0.32,29.0,Method2,LayoutC,Good,L,Summer
2023-05-18,RPT0289291,PRD00002,SupplierC,Shorts,Cotton,0.35,21.0,Method2,LayoutB,Good,S,Summer
2023-05-19,RPT0025282,PRD00004,SupplierA,Skirt,Polyester,0.25,29.0,Method2,LayoutB,Good,L,Winter
2023-05-19,RPT0220130,PRD00016,SupplierB,Shirt,Cotton,0.2,23.0,Method4,LayoutA,Good,L,Spring
2023-05-19,RPT0342332,PRD00028,SupplierD,Dress,Silk,0.37,27.0,Method4,LayoutB,Bad,XS,Winter
2023-05-20,RPT0012444,PRD00028,SupplierH,Dress,Silk,0.37,33.0,Method3,LayoutC,Good,XS,Winter
2023-05-20,RPT0228033,PRD00021,SupplierG,Suit,Cotton,1.11,5.0,Method1,LayoutE,Bad,M,Spring
2023-05-20,RPT0371028,PRD00011,SupplierB,Shirt,Silk,0.15,39.0,Method3,LayoutB,Bad,M,Summer
2023-05-21,RPT0093387,PRD00011,SupplierC,Shirt,Silk,0.15,43.0,Method3,LayoutB,Good,M,Summer
2023-05-22,RPT0205680,PRD00026,SupplierB,T-Shirt,Cotton,0.15,45.0,Method1,LayoutA,Good,M,Autumn
2023-05-22,RPT0205821,PRD00007,SupplierC,Shirt,Cotton,0.22,27.0,Method1,LayoutB,Good,XL,Winter
2023-05-22,RPT0495458,PRD00017,SupplierB,Pants,Cotton,0.37,29.0,Method2,LayoutB,Good,L,Summer
2023-05-23,RPT0131577,PRD00031,SupplierA,Skirt,Cotton,0.32,27.0,Method2,LayoutC,Good,L,Summer
2023-05-23,RPT0151159,PRD00007,SupplierB,Shirt,Cotton,0.22,29.0,Method2,LayoutB,Good,XL,Winter
2023-05-23,RPT0398266,PRD00008,SupplierA,T-Shirt,Polyester,0.13,38.0,Method2,LayoutA,Bad,S,Spring
2023-05-25,RPT0128925,PRD00015,SupplierH,Shirt,Polyester,0.12,35.0,Method2,LayoutA,Good,M,Summer
2023-05-25,RPT0274122,PRD00012,SupplierF,Shorts,Wool,0.33,20.0,Method3,LayoutC,Bad,XS,Summer
2023-05-25,RPT0392674,PRD00005,SupplierE,Shirt,Polyester,0.16,31.0,Method1,LayoutB,Bad,M,Spring
2023-05-25,RPT0484793,PRD00021,SupplierG,Suit,Cotton,1.11,8.0,Method1,LayoutE,Bad,M,Spring
2023-05-26,RPT0114857,PRD00032,SupplierF,Shirt,Denim,0.3,24.0,Method2,LayoutC,Good,S,Summer
2023-05-26,RPT0150316,PRD00018,SupplierD,Dress,Cotton,0.46,30.0,Method2,LayoutC,Good,XL,Winter
