ProductReference,SupplierName,ProposedLayout,ProposedFoldingMethod,ProposedUnitsPerCarton,ProductName,GarmentType,Material,Size,Collection,Weight
PRD01204,SupplierA,LayoutB,Method2,31.0,Pants Linen M,Pants,Linen,M,Winter,0.25
PRD01203,SupplierD,LayoutB,Method2,32.0,Shirt Polyester L,Shirt,Polyester,L,Autumn,0.13
PRD01202,SupplierB,LayoutA,Method1,20.0,Shirt Cotton M,Shirt,Cotton,M,Spring,0.21
PRD01201,SupplierB,LayoutD,Method2,19.0,Sweater Cotton XS,Sweater,Cotton,XS,Spring,0.68
PRD01200,SupplierE,LayoutB,Method2,33.0,Shirt Denim S,Shirt,Denim,S,Spring,0.28
PRD01199,SupplierA,LayoutC,Method2,19.0,Sweater Polyester L,Sweater,Polyester,L,Spring,0.5
PRD01219,SupplierF,LayoutC,Method1,11.0,Suit Polyester XL,Suit,Polyester,XL,Winter,0.81
PRD01218,SupplierA,LayoutE,Method3,4.0,Coat Wool XL,Coat,Wool,XL,Spring,1.62
PRD01217,SupplierG,LayoutA,Method1,49.0,Shirt Polyester L,Shirt,Polyester,L,Summer,0.16
PRD01216,SupplierA,LayoutC,Method2,34.0,Pants Cotton S,Pants,Cotton,S,Spring,0.38
PRD01215,SupplierA,LayoutE,Method3,9.0,Coat Linen L,Coat,Linen,L,Winter,1.61
PRD01214,SupplierC,LayoutA,Method2,47.0,T-Shirt Cotton L,T-Shirt,Cotton,L,Winter,0.16
PRD01213,SupplierC,LayoutB,Method3,26.0,Shirt Wool L,Shirt,Wool,L,Summer,0.23
PRD01212,SupplierG,LayoutD,Method3,9999.0,Dress Wool M,Dress,Wool,M,Summer,0.61
PRD01211,SupplierA,LayoutC,Method2,18.0,Jacket Cotton M,Jacket,Cotton,M,Spring,0.87
PRD01210,SupplierA,LayoutC,Method2,11.0,Hoodie Cotton XS,Hoodie,Cotton,XS,Autumn,0.9
PRD01209,SupplierA,LayoutC,Method2,34.0,Pants Cotton S,Pants,Cotton,S,Autumn,0.45
PRD01228,SupplierB,LayoutB,Method2,18.0,Pants Denim S,Pants,Denim,S,Winter,0.52
PRD01227,SupplierB,LayoutE,Method3,9.0,Jacket Wool M,Jacket,Wool,M,Spring,1.0
PRD01226,SupplierB,LayoutD,Method2,14.0,Suit Polyester XL,Suit,Polyester,XL,Autumn,0.72
PRD01225,SupplierA,LayoutC,Method2,19.0,Jacket Polyester M,Jacket,Polyester,M,Summer,0.59
PRD01224,SupplierA,LayoutB,Method3,20.0,Shorts Silk L,Shorts,Silk,L,Summer,0.23
PRD01223,SupplierA,LayoutC,Method2,16.0,Jacket Linen L,Jacket,Linen,L,Winter,0.78
PRD01222,SupplierA,LayoutB,Method2,41.0,Shirt Polyester L,Shirt,Polyester,L,Spring,0.18
PRD01221,SupplierB,LayoutB,Method1,32.0,Shorts Cotton M,Shorts,Cotton,M,Autumn,0.33
PRD01220,SupplierB,LayoutB,Method2,24.0,Pants Polyester L,Pants,Polyester,L,Summer,0.31
PRD01237,SupplierD,LayoutA,Method1,35.0,T-Shirt Polyester L,T-Shirt,Polyester,L,Spring,0.14
PRD01236,SupplierB,LayoutC,Method1,11.0,Jacket Polyester S,Jacket,Polyester,S,Spring,0.53
PRD01235,SupplierA,LayoutC,Method1,19.0,Suit Cotton L,Suit,Cotton,L,Autumn,0.97
PRD01234,SupplierD,LayoutB,Method1,42.0,Shirt Polyester L,Shirt,Polyester,L,Winter,0.14
PRD01233,SupplierF,LayoutB,Method1,31.0,Pants Cotton L,Pants,Cotton,L,Spring,0.37
PRD01232,SupplierA,LayoutC,Method2,24.0,Pants Polyester S,Pants,Polyester,S,Autumn,0.34
PRD01231,SupplierA,LayoutA,Method2,23.0,Blouse Linen M,Blouse,Linen,M,Winter,0.24
PRD01230,SupplierH,LayoutB,Method2,17.0,Jacket Polyester L,Jacket,Polyester,L,Spring,0.52
PRD01229,SupplierA,LayoutE,Method2,8.0,Hoodie Cotton S,Hoodie,Cotton,S,Winter,1.08
PRD01247,SupplierB,LayoutB,Method2,9999.0,Shirt Polyester XL,Shirt,Polyester,XL,Spring,0.15
PRD01246,SupplierE,LayoutC,Method3,11.0,Suit Linen XL,Suit,Linen,XL,Summer,0.83
PRD01245,SupplierA,LayoutD,Method2,14.0,Sweater Cotton M,Sweater,Cotton,M,Summer,0.92
PRD01244,SupplierC,LayoutB,Method2,41.0,T-Shirt Polyester M,T-Shirt,Polyester,M,Winter,0.13
PRD01243,SupplierF,LayoutB,Method2,41.0,T-Shirt Cotton XS,T-Shirt,Cotton,XS,Spring,0.14
PRD01242,SupplierC,LayoutA,Method3,32.0,T-Shirt Silk M,T-Shirt,Silk,M,Spring,0.09
PRD01241,SupplierF,LayoutA,Method1,33.0,T-Shirt Cotton L,T-Shirt,Cotton,L,Spring,0.13
PRD01240,SupplierG,LayoutB,Method1,9999.0,Shirt Cotton M,Shirt,Cotton,M,Autumn,0.19
PRD01239,SupplierA,LayoutB,Method2,33.0,Shorts Polyester M,Shorts,Polyester,M,Summer,0.23
PRD01238,SupplierC,LayoutB,Method3,24.0,Dress Silk XS,Dress,Silk,XS,Summer,0.44
PRD01259,SupplierH,LayoutA,Method3,34.0,Shirt Silk M,Shirt,Silk,M,Spring,0.15
PRD01258,SupplierE,LayoutB,Method1,21.0,Dress Cotton M,Dress,Cotton,M,Spring,0.46
PRD01257,SupplierC,LayoutC,Method1,24.0,Pants Cotton M,Pants,Cotton,M,Summer,0.39
PRD01256,SupplierC,LayoutE,Method2,8.0,Jacket Denim S,Jacket,Denim,S,Spring,1.08
PRD01255,SupplierD,LayoutE,Method2,5.0,Coat Cotton S,Coat,Cotton,S,Winter,1.61
PRD01254,SupplierA,LayoutA,Method3,42.0,Shirt Silk M,Shirt,Silk,M,Autumn,0.15
PRD01253,SupplierD,LayoutB,Method3,43.0,Shirt Silk S,Shirt,Silk,S,Autumn,0.16
PRD01252,SupplierF,LayoutB,Method3,18.0,Dress Wool XS,Dress,Wool,XS,Winter,0.57
PRD01251,SupplierB,LayoutB,Method2,46.0,T-Shirt Polyester L,T-Shirt,Polyester,L,Winter,0.12
PRD01250,SupplierB,LayoutC,Method3,10.0,Suit Silk S,Suit,Silk,S,Spring,0.72
PRD01249,SupplierG,LayoutB,Method1,23.0,Shorts Cotton S,Shorts,Cotton,S,Winter,0.31
PRD01248,SupplierC,LayoutB,Method1,31.0,Shirt Cotton S,Shirt,Cotton,S,Winter,0.18
PRD01271,SupplierH,LayoutD,Method2,8.0,Coat Cotton M,Coat,Cotton,M,Summer,1.48
PRD01270,SupplierA,LayoutA,Method2,21.0,Pants Cotton M,Pants,Cotton,M,Winter,0.39
PRD01269,SupplierE,LayoutB,Method2,23.0,Skirt Denim XL,Skirt,Denim,XL,Spring,0.41
PRD01268,SupplierA,LayoutC,Method2,12.0,Dress Cotton L,Dress,Cotton,L,Spring,0.62
PRD01267,SupplierA,LayoutC,Method3,16.0,Jacket Wool S,Jacket,Wool,S,Autumn,0.98
PRD01266,SupplierA,LayoutB,Method3,39.0,Shirt Silk L,Shirt,Silk,L,Spring,0.15
PRD01265,SupplierD,LayoutB,Method3,22.0,Shirt Wool M,Shirt,Wool,M,Autumn,0.22
PRD01264,SupplierA,LayoutC,Method1,30.0,Dress Polyester L,Dress,Polyester,L,Winter,0.39
PRD01263,SupplierB,LayoutB,Method2,25.0,Pants Polyester XL,Pants,Polyester,XL,Autumn,0.33
PRD01262,SupplierB,LayoutA,Method1,41.0,T-Shirt Cotton M,T-Shirt,Cotton,M,Winter,0.13
PRD01261,SupplierA,LayoutB,Method2,22.0,Pants Cotton S,Pants,Cotton,S,Summer,0.42
PRD01260,SupplierA,LayoutB,Method2,24.0,Skirt Cotton XL,Skirt,Cotton,XL,Autumn,0.31
PRD01283,SupplierH,LayoutB,Method2,27.0,Skirt Denim L,Skirt,Denim,L,Winter,0.39
PRD01282,SupplierA,LayoutD,Method1,7.0,Coat Cotton L,Coat,Cotton,L,Autumn,1.38
PRD01281,SupplierB,LayoutC,Method1,17.0,Suit Cotton M,Suit,Cotton,M,Winter,0.94
PRD01280,SupplierA,LayoutC,Method3,23.0,Dress Linen S,Dress,Linen,S,Winter,0.46
PRD01279,SupplierD,LayoutB,Method2,45.0,Shirt Linen S,Shirt,Linen,S,Spring,0.17
PRD01278,SupplierA,LayoutD,Method2,12.0,Hoodie Polyester M,Hoodie,Polyester,M,Summer,0.65
PRD01277,SupplierA,LayoutC,Method1,26.0,Pants Cotton M,Pants,Cotton,M,Winter,0.43
PRD01276,SupplierC,LayoutB,Method2,34.0,Shirt Cotton XS,Shirt,Cotton,XS,Autumn,0.18
PRD01275,SupplierH,LayoutB,Method2,13.0,Dress Cotton L,Dress,Cotton,L,Summer,0.52
PRD01274,SupplierA,LayoutA,Method2,25.0,Shirt Cotton M,Shirt,Cotton,M,Winter,0.21
PRD01273,SupplierB,LayoutA,Method1,46.0,T-Shirt Polyester L,T-Shirt,Polyester,L,Summer,0.13
PRD01272,SupplierC,LayoutA,Method1,49.0,T-Shirt Cotton S,T-Shirt,Cotton,S,Summer,0.13
PRD01296,SupplierB,LayoutB,Method2,29.0,Pants Cotton M,Pants,Cotton,M,Summer,0.37
PRD01295,SupplierA,LayoutB,Method1,47.0,T-Shirt Cotton L,T-Shirt,Cotton,L,Summer,0.15
PRD01294,SupplierA,LayoutD,Method3,8.0,Coat Wool S,Coat,Wool,S,Winter,1.67
PRD01293,SupplierE,LayoutA,Method1,34.0,Skirt Polyester M,Skirt,Polyester,M,Winter,0.24
PRD01292,SupplierA,LayoutA,Method2,25.0,Shirt Cotton M,Shirt,Cotton,M,Spring,0.22
PRD01291,SupplierB,LayoutC,Method2,17.0,Jacket Polyester XL,Jacket,Polyester,XL,Autumn,0.67
PRD01290,SupplierA,LayoutB,Method3,33.0,Shirt Wool M,Shirt,Wool,M,Winter,0.2
PRD01289,SupplierF,LayoutB,Method1,34.0,Shirt Polyester S,Shirt,Polyester,S,Summer,0.18
PRD01288,SupplierC,LayoutD,Method1,19.0,Jacket Cotton M,Jacket,Cotton,M,Spring,0.76
PRD01287,SupplierB,LayoutC,Method2,29.0,Shirt Denim L,Shirt,Denim,L,Winter,0.27
PRD01286,SupplierC,LayoutB,Method1,19.0,Dress Cotton XL,Dress,Cotton,XL,Autumn,0.54
PRD01285,SupplierD,LayoutC,Method3,32.0,Pants Silk M,Pants,Silk,M,Summer,0.31
PRD01284,SupplierC,LayoutB,Method1,29.0,Shirt Cotton L,Shirt,Cotton,L,Autumn,0.22
PRD01307,SupplierA,LayoutE,Method2,9.0,Coat Denim S,Coat,Denim,S,Summer,1.64
PRD01306,SupplierB,LayoutB,Method2,33.0,Blouse Cotton L,Blouse,Cotton,L,Winter,0.27
PRD01305,SupplierA,LayoutD,Method1,5.0,Coat Cotton S,Coat,Cotton,S,Summer,1.54
PRD01304,SupplierA,LayoutC,Method1,29.0,Skirt Cotton L,Skirt,Cotton,L,Summer,0.25
PRD01303,SupplierH,LayoutB,Method2,38.0,Shirt Polyester L,Shirt,Polyester,L,Summer,0.15
PRD01302,SupplierC,LayoutC,Method1,32.0,Shorts Cotton L,Shorts,Cotton,L,Autumn,0.33
PRD01301,SupplierF,LayoutA,Method1,44.0,Shirt Polyester M,Shirt,Polyester,M,Summer,0.17
PRD01300,SupplierA,LayoutD,Method2,9.0,Coat Cotton M,Coat,Cotton,M,Autumn,1.56
PRD01299,SupplierE,LayoutD,Method3,0.0,Suit Wool M,Suit,Wool,M,Spring,1.25
PRD01298,SupplierC,LayoutA,Method1,25.0,Shirt Cotton M,Shirt,Cotton,M,Summer,0.22
PRD01297,SupplierA,LayoutB,Method2,41.0,Shirt Polyester M,Shirt,Polyester,M,Spring,0.17
PRD01317,SupplierA,LayoutB,Method2,31.0,Dress Polyester S,Dress,Polyester,S,Winter,0.35
PRD01316,SupplierA,LayoutC,Method3,16.0,Suit Linen L,Suit,Linen,L,Summer,0.91
PRD01315,SupplierD,LayoutD,Method2,17.0,Dress Denim L,Dress,Denim,L,Winter,0.63
PRD01314,SupplierG,LayoutA,Method2,39.0,T-Shirt Denim L,T-Shirt,Denim,L,Winter,0.19
PRD01313,SupplierE,LayoutB,Method1,32.0,Skirt Polyester XL,Skirt,Polyester,XL,Autumn,0.24
PRD01312,SupplierD,LayoutA,Method2,20.0,Blouse Polyester L,Blouse,Polyester,L,Summer,0.23
PRD01311,SupplierA,LayoutB,Method2,9999.0,Shirt Cotton M,Shirt,Cotton,M,Winter,0.23
PRD01310,SupplierG,LayoutA,Method2,48.0,T-Shirt Cotton L,T-Shirt,Cotton,L,Autumn,0.15
PRD01309,SupplierG,LayoutB,Method3,12.0,Pants Wool XL,Pants,Wool,XL,Winter,0.53
PRD01308,SupplierA,LayoutA,Method2,38.0,T-Shirt Cotton S,T-Shirt,Cotton,S,Winter,0.15
PRD01327,SupplierA,LayoutB,Method1,37.0,Shirt Polyester XL,Shirt,Polyester,XL,Autumn,0.15
PRD01326,SupplierA,LayoutC,Method1,3.0,Pants Cotton M,Pants,Cotton,M,Autumn,0.45
PRD01325,SupplierD,LayoutD,Method2,7.0,Hoodie Denim L,Hoodie,Denim,L,Spring,1.15
PRD01324,SupplierH,LayoutB,Method1,26.0,Pants Cotton XL,Pants,Cotton,XL,Winter,0.39
PRD01323,SupplierC,LayoutC,Method2,20.0,Blouse Cotton M,Blouse,Cotton,M,Summer,0.25
PRD01322,SupplierH,LayoutB,Method2,42.0,Shirt Polyester M,Shirt,Polyester,M,Autumn,0.13
PRD01321,SupplierC,LayoutC,Method1,25.0,Pants Polyester S,Pants,Polyester,S,Winter,0.39
PRD01320,SupplierB,LayoutC,Method2,24.0,Shirt Denim M,Shirt,Denim,M,Spring,0.26
PRD01319,SupplierC,LayoutA,Method2,42.0,Shirt Cotton L,Shirt,Cotton,L,Winter,0.15
PRD01318,SupplierA,LayoutB,Method2,32.0,Sweater Polyester S,Sweater,Polyester,S,Summer,0.48
PRD01337,SupplierG,LayoutB,Method2,27.0,Shirt Cotton L,Shirt,Cotton,L,Summer,0.22
PRD01336,SupplierD,LayoutD,Method2,14.0,Suit Polyester L,Suit,Polyester,L,Winter,0.71
PRD01335,SupplierB,LayoutC,Method2,19.0,Hoodie Cotton M,Hoodie,Cotton,M,Summer,0.87
PRD01334,SupplierE,LayoutE,Method3,6.0,Hoodie Wool L,Hoodie,Wool,L,Winter,1.07
PRD01333,SupplierC,LayoutB,Method3,21.0,Pants Silk S,Pants,Silk,S,Autumn,0.25
PRD01332,SupplierB,LayoutD,Method2,9.0,Coat Cotton S,Coat,Cotton,S,Summer,1.54
PRD01331,SupplierE,LayoutA,Method3,33.0,Skirt Linen M,Skirt,Linen,M,Summer,0.21
PRD01330,SupplierG,LayoutC,Method1,30.0,Dress Cotton XL,Dress,Cotton,XL,Spring,0.47
PRD01329,SupplierA,LayoutC,Method2,13.0,Suit Linen M,Suit,Linen,M,Autumn,0.85
PRD01328,SupplierE,LayoutA,Method1,39.0,T-Shirt Cotton XL,T-Shirt,Cotton,XL,Autumn,0.12
PRD01348,SupplierC,LayoutC,Method1,11.0,Jacket Cotton XL,Jacket,Cotton,XL,Autumn,0.79
PRD01347,SupplierA,LayoutB,Method2,16.0,Pants Denim L,Pants,Denim,L,Spring,0.56
PRD01346,SupplierA,LayoutC,Method2,13.0,Jacket Denim L,Jacket,Denim,L,Autumn,0.94
PRD01345,SupplierE,LayoutC,Method2,11.0,Sweater Cotton M,Sweater,Cotton,M,Spring,0.71
PRD01344,SupplierB,LayoutC,Method3,27.0,Sweater Silk M,Sweater,Silk,M,Spring,0.44
PRD01343,SupplierC,LayoutB,Method1,31.0,T-Shirt Cotton M,T-Shirt,Cotton,M,Winter,0.14
PRD01342,SupplierB,LayoutB,Method2,13.0,Dress Cotton L,Dress,Cotton,L,Summer,0.51
PRD01341,SupplierA,LayoutC,Method2,28.0,Pants Cotton S,Pants,Cotton,S,Winter,0.41
PRD01340,SupplierD,LayoutB,Method1,38.0,Shirt Polyester M,Shirt,Polyester,M,Autumn,0.17
PRD01339,SupplierE,LayoutA,Method3,39.0,Shirt Silk S,Shirt,Silk,S,Summer,0.14
PRD01338,SupplierD,LayoutE,Method2,6.0,Coat Cotton XS,Coat,Cotton,XS,Winter,1.46
PRD01358,SupplierB,LayoutB,Method3,24.0,Jacket Silk M,Jacket,Silk,M,Summer,0.47
PRD01357,SupplierB,LayoutC,Method1,28.0,Blouse Cotton L,Blouse,Cotton,L,Winter,0.28
PRD01356,SupplierF,LayoutA,Method2,26.0,Blouse Cotton S,Blouse,Cotton,S,Winter,0.24
PRD01355,SupplierC,LayoutB,Method2,30.0,Dress Linen M,Dress,Linen,M,Summer,0.39
PRD01354,SupplierA,LayoutD,Method1,15.0,Sweater Polyester S,Sweater,Polyester,S,Winter,0.61
PRD01353,SupplierB,LayoutC,Method2,16.0,Jacket Cotton XL,Jacket,Cotton,XL,Autumn,0.79
PRD01352,SupplierB,LayoutB,Method1,24.0,Skirt Cotton L,Skirt,Cotton,L,Spring,0.35
PRD01351,SupplierF,LayoutA,Method2,33.0,T-Shirt Cotton S,T-Shirt,Cotton,S,Spring,0.13
PRD01350,SupplierA,LayoutA,Method3,37.0,Shirt Silk M,Shirt,Silk,M,Summer,0.13
PRD01349,SupplierB,LayoutC,Method2,12.5,Hoodie Cotton L,Hoodie,Cotton,L,Summer,0.96
PRD01368,SupplierA,LayoutC,Method2,24.0,Blouse Denim L,Blouse,Denim,L,Winter,0.32
PRD01367,SupplierC,LayoutD,Method1,8.0,Coat Polyester M,Coat,Polyester,M,Summer,1.26
PRD01366,SupplierA,LayoutC,Method3,22.0,Shirt Wool M,Shirt,Wool,M,Winter,0.25
PRD01365,SupplierB,LayoutC,Method2,13.0,Sweater Cotton M,Sweater,Cotton,M,Summer,0.65
PRD01364,SupplierD,LayoutC,Method2,18.0,Suit Cotton M,Suit,Cotton,M,Summer,0.92
PRD01363,SupplierA,LayoutD,Method2,6.0,Suit Linen M,Suit,Linen,M,Autumn,1.0
PRD01362,SupplierB,LayoutB,Method2,31.0,Pants Polyester M,Pants,Polyester,M,Winter,0.33
PRD01361,SupplierC,LayoutA,Method3,34.0,Blouse Linen M,Blouse,Linen,M,Spring,0.21
PRD01360,SupplierA,LayoutB,Method1,24.0,Skirt Polyester L,Skirt,Polyester,L,Spring,0.24
PRD01359,SupplierB,LayoutC,Method2,32.0,Pants Linen S,Pants,Linen,S,Summer,0.44
PRD01377,SupplierB,LayoutC,Method3,16.0,Jacket Wool S,Jacket,Wool,S,Spring,0.91
PRD01376,SupplierE,LayoutA,Method2,27.0,Blouse Polyester L,Blouse,Polyester,L,Spring,0.22
PRD01375,SupplierB,LayoutC,Method3,33.0,Pants Silk M,Pants,Silk,M,Summer,0.29
PRD01374,SupplierA,LayoutC,Method2,30.0,Dress Polyester S,Dress,Polyester,S,Autumn,0.47
PRD01373,SupplierE,LayoutB,Method2,32.0,T-Shirt Linen S,T-Shirt,Linen,S,Summer,0.13
PRD01372,SupplierA,LayoutB,Method1,40.0,Shirt Cotton L,Shirt,Cotton,L,Autumn,0.19
PRD01371,SupplierE,LayoutD,Method2,6.0,Hoodie Denim M,Hoodie,Denim,M,Autumn,1.19
PRD01370,SupplierB,LayoutC,Method3,23.0,Pants Silk M,Pants,Silk,M,Autumn,0.3
PRD01369,SupplierD,LayoutA,Method2,22.0,Shirt Cotton L,Shirt,Cotton,L,Winter,0.21
PRD01388,SupplierB,LayoutA,Method3,48.0,Shirt Linen XS,Shirt,Linen,XS,Winter,0.18
PRD01387,SupplierB,LayoutA,Method1,30.0,T-Shirt Cotton L,T-Shirt,Cotton,L,Spring,0.15
PRD01386,SupplierF,LayoutC,Method1,23.0,Pants Polyester M,Pants,Polyester,M,Summer,0.29
PRD01385,SupplierC,LayoutC,Method1,14.0,Suit Cotton M,Suit,Cotton,M,Summer,0.94
PRD01384,SupplierB,LayoutB,Method3,19.0,Pants Wool M,Pants,Wool,M,Winter,0.56
PRD01383,SupplierC,LayoutB,Method1,21.0,Shorts Polyester S,Shorts,Polyester,S,Spring,0.27
PRD01382,SupplierA,LayoutD,Method2,11.0,Jacket Linen L,Jacket,Linen,L,Spring,0.64
PRD01381,SupplierA,LayoutB,Method1,48.0,Shirt Polyester S,Shirt,Polyester,S,Summer,0.18
PRD01380,SupplierB,LayoutB,Method1,31.0,Skirt Cotton XL,Skirt,Cotton,XL,Winter,0.34
PRD01379,SupplierB,LayoutD,Method1,16.0,Jacket Cotton L,Jacket,Cotton,L,Autumn,0.86
PRD01378,SupplierA,LayoutC,Method1,26.0,Dress Polyester L,Dress,Polyester,L,Summer,0.41
PRD01397,SupplierE,LayoutC,Method2,14.0,Jacket Linen L,Jacket,Linen,L,Winter,0.69
PRD01396,SupplierH,LayoutA,Method1,46.0,T-Shirt Cotton S,T-Shirt,Cotton,S,Spring,0.13
PRD01395,SupplierA,LayoutB,Method3,23.0,Pants Linen L,Pants,Linen,L,Winter,0.31
PRD01394,SupplierG,LayoutC,Method2,31.0,Dress Polyester L,Dress,Polyester,L,Summer,0.4
PRD01393,SupplierC,LayoutB,Method3,27.0,Shirt Wool L,Shirt,Wool,L,Summer,0.23
PRD01392,SupplierH,LayoutA,Method1,41.0,Shirt Cotton XS,Shirt,Cotton,XS,Winter,0.18
PRD01391,SupplierH,LayoutB,Method1,25.0,Pants Cotton L,Pants,Cotton,L,Winter,0.46
PRD01390,SupplierA,LayoutC,Method1,30.0,Dress Polyester S,Dress,Polyester,S,Spring,0.35
PRD01389,SupplierF,LayoutC,Method2,30.0,Shorts Denim M,Shorts,Denim,M,Winter,0.38
PRD01406,SupplierC,LayoutC,Method1,28.0,Dress Polyester XL,Dress,Polyester,XL,Winter,0.49
PRD01405,SupplierA,LayoutC,Method2,19.0,Suit Linen M,Suit,Linen,M,Winter,0.96
PRD01404,SupplierF,LayoutC,Method2,19.0,Sweater Polyester M,Sweater,Polyester,M,Spring,0.57
PRD01403,SupplierF,LayoutA,Method3,37.0,Shirt Silk S,Shirt,Silk,S,Summer,0.14
PRD01402,SupplierA,LayoutA,Method1,33.0,Shirt Polyester L,Shirt,Polyester,L,Summer,0.17
PRD01401,SupplierB,LayoutA,Method2,28.0,Shirt Cotton M,Shirt,Cotton,M,Autumn,0.23
PRD01400,SupplierA,LayoutC,Method1,14.0,Coat Polyester L,Coat,Polyester,L,Autumn,0.95
PRD01399,SupplierB,LayoutE,Method2,4.0,Suit Cotton L,Suit,Cotton,L,Autumn,1.02
PRD01398,SupplierC,LayoutB,Method3,17.0,Pants Wool XS,Pants,Wool,XS,Winter,0.52
PRD01417,SupplierB,LayoutA,Method3,37.0,Shirt Silk XS,Shirt,Silk,XS,Autumn,0.13
PRD01416,SupplierA,LayoutB,Method1,26.0,Shorts Cotton M,Shorts,Cotton,M,Winter,0.33
PRD01415,SupplierD,LayoutB,Method2,24.0,Skirt Polyester XS,Skirt,Polyester,XS,Summer,0.22
PRD01414,SupplierE,LayoutA,Method1,33.0,Shirt Cotton L,Shirt,Cotton,L,Autumn,0.21
PRD01413,SupplierA,LayoutB,Method1,20.0,Pants Cotton L,Pants,Cotton,L,Summer,0.38
PRD01412,SupplierC,LayoutA,Method1,30.0,Shirt Polyester M,Shirt,Polyester,M,Spring,0.16
PRD01411,SupplierF,LayoutB,Method2,30.0,Pants Cotton XL,Pants,Cotton,XL,Winter,0.43
PRD01410,SupplierD,LayoutA,Method2,36.0,T-Shirt Cotton M,T-Shirt,Cotton,M,Summer,0.15
PRD01409,SupplierE,LayoutB,Method2,34.0,Skirt Polyester XL,Skirt,Polyester,XL,Winter,0.21
PRD01408,SupplierC,LayoutB,Method1,30.0,T-Shirt Polyester L,T-Shirt,Polyester,L,Autumn,0.12
PRD01407,SupplierH,LayoutB,Method2,36.0,T-Shirt Cotton L,T-Shirt,Cotton,L,Spring,0.16
PRD01427,SupplierA,LayoutA,Method1,49.0,Shirt Cotton M,Shirt,Cotton,M,Spring,0.18
PRD01426,SupplierF,LayoutB,Method2,29.0,Shorts Cotton L,Shorts,Cotton,L,Winter,0.29
PRD01425,SupplierA,LayoutD,Method3,16.0,Hoodie Linen S,Hoodie,Linen,S,Summer,0.77
PRD01424,SupplierB,LayoutB,Method1,33.0,Shirt Polyester L,Shirt,Polyester,L,Autumn,0.16
PRD01423,SupplierA,LayoutA,Method2,28.0,Shirt Denim M,Shirt,Denim,M,Spring,0.23
PRD01422,SupplierB,LayoutC,Method2,12.0,Dress Cotton S,Dress,Cotton,S,Autumn,0.52
PRD01421,SupplierC,LayoutB,Method3,16.0,Pants Wool L,Pants,Wool,L,Winter,0.51
PRD01420,SupplierF,LayoutB,Method2,22.0,Shorts Polyester M,Shorts,Polyester,M,Autumn,0.24
PRD01419,SupplierC,LayoutB,Method3,29.0,Dress Linen S,Dress,Linen,S,Winter,0.43
PRD01418,SupplierF,LayoutA,Method2,41.0,Shirt Cotton XL,Shirt,Cotton,XL,Summer,0.16
PRD01438,SupplierC,LayoutE,Method2,4.0,Coat Denim L,Coat,Denim,L,Summer,2.18
PRD01437,SupplierG,LayoutB,Method2,22.0,Pants Polyester M,Pants,Polyester,M,Summer,0.3
PRD01436,SupplierC,LayoutB,Method2,32.0,Shirt Polyester M,Shirt,Polyester,M,Winter,0.16
PRD01435,SupplierC,LayoutA,Method3,27.0,Shirt Linen M,Shirt,Linen,M,Summer,0.2
PRD01434,SupplierB,LayoutC,Method2,16.0,Suit Polyester M,Suit,Polyester,M,Summer,0.81
PRD01433,SupplierA,LayoutC,Method2,16.0,Dress Denim M,Dress,Denim,M,Winter,0.63
PRD01432,SupplierA,LayoutB,Method1,34.0,Dress Polyester L,Dress,Polyester,L,Winter,0.4
PRD01431,SupplierC,LayoutB,Method2,33.0,Dress Cotton XL,Dress,Cotton,XL,Autumn,0.45
PRD01430,SupplierB,LayoutB,Method2,38.0,T-Shirt Polyester M,T-Shirt,Polyester,M,Summer,0.14
PRD01429,SupplierA,LayoutE,Method2,4.0,Suit Cotton M,Suit,Cotton,M,Autumn,1.31
PRD01428,SupplierE,LayoutB,Method3,24.0,Shorts Wool S,Shorts,Wool,S,Summer,0.36
PRD01447,SupplierA,LayoutD,Method3,17.0,Coat Silk XL,Coat,Silk,XL,Spring,0.96
PRD01446,SupplierB,LayoutB,Method3,32.0,Shirt Linen M,Shirt,Linen,M,Winter,0.17
PRD01445,SupplierD,LayoutA,Method2,32.0,T-Shirt Polyester M,T-Shirt,Polyester,M,Summer,0.1
PRD01444,SupplierA,LayoutD,Method1,16.0,Jacket Polyester M,Jacket,Polyester,M,Summer,0.6
PRD01443,SupplierA,LayoutD,Method1,9.0,Coat Cotton L,Coat,Cotton,L,Winter,1.61
PRD01442,SupplierC,LayoutA,Method2,43.0,Shirt Polyester S,Shirt,Polyester,S,Winter,0.14
PRD01441,SupplierE,LayoutB,Method2,34.0,Shorts Cotton M,Shorts,Cotton,M,Summer,0.26
PRD01440,SupplierA,LayoutD,Method2,8.0,Coat Linen S,Coat,Linen,S,Summer,1.38
PRD01439,SupplierF,LayoutC,Method3,26.0,Pants Silk M,Pants,Silk,M,Winter,0.25
PRD01457,SupplierD,LayoutD,Method1,7.0,Coat Polyester S,Coat,Polyester,S,Spring,1.12
PRD01456,SupplierB,LayoutC,Method1,23.0,Shorts Cotton XS,Shorts,Cotton,XS,Winter,0.26
PRD01455,SupplierH,LayoutA,Method2,32.0,Shirt Denim L,Shirt,Denim,L,Autumn,0.24
PRD01454,SupplierB,LayoutC,Method1,29.0,Skirt Cotton L,Skirt,Cotton,L,Autumn,0.29
PRD01453,SupplierB,LayoutA,Method2,48.0,T-Shirt Cotton S,T-Shirt,Cotton,S,Summer,0.14
